tahun,bulan,destinasi_wisata,jumlah
2019,11,Taman Impian Jaya Ancol,604985
2019,11,Taman Mini Indonesia Indah,301345
2019,11,Taman Margasatwa Ragunan,335617
2019,11,Monumen Nasional (kawasan),824882
2019,11,Museum Nasional,11046
2019,11,Museum Satria Mandala,704
2019,11,Museum Sejarah Jakarta,52948
2019,11,Museum Tekstil,3415
2019,11,Museum Bahari,2019
2019,11,Museum Seni Rupa dan Keramik,1025
2019,11,Museum Wayang,13291
2019,11,Museum Joang 45 dan Thamrin,1559
2019,11,Taman Arkeologi Onrust,4651
2019,11,Pelabuhan Sunda Kelapa,2647
2019,11,Kepulauan Seribu,68524
2019,11,PBB Setu babakan,40387
2019,11,Museum Prasasti,946
2019,11,Planetarium,13885
2019,11,Rumah si Pitung,1896
2019,11,Kawasan Kota Tua,442361
