tahun,bulan,destinasi_wisata,jumlah
2019,12,Taman Impian Jaya Ancol,1023481
2019,12,Taman Mini Indonesia Indah,632187
2019,12,Taman Margasatwa Ragunan,432567
2019,12,Monumen Nasional (kawasan),1376549
2019,12,Museum Nasional,13432
2019,12,Museum Satria Mandala,876
2019,12,Museum Sejarah Jakarta,65437
2019,12,Museum Tekstil,4023
2019,12,Museum Bahari,3154
2019,12,Museum Seni Rupa dan Keramik,12765
2019,12,Museum Wayang,15432
2019,12,Museum Joang 45 dan Thamrin,1765
2019,12,Taman Arkeologi Onrust,5213
2019,12,Pelabuhan Sunda Kelapa,3012
2019,12,Kepulauan Seribu,75876
2019,12,PBB Setu babakan,45673
2019,12,Museum Prasasti,1002
2019,12,Planetarium,13998
2019,12,Rumah si Pitung,2012
2019,12,Kawasan Kota Tua,654320
