tahun,bulan,destinasi_wisata,jumlah
2019,01,Taman Impian Jaya Ancol,1674345
2019,01,Taman Mini Indonesia Indah,432146
2019,01,Taman Margasatwa Ragunan,501231
2019,01,Monumen Nasional,164652
2019,01,Museum Nasional,21743
2019,01,Museum Satria Mandala,1976
2019,01,Museum Sejarah Jakarta,80823
2019,01,Museum Tekstil,3547
2019,01,Museum Bahari,2217
2019,01,Museum Seni Rupa dan Keramik,21432
2019,01,Museum Wayang,39585
2019,01,Museum Joang 45 dan Thamrin,1263
2019,01,Taman Arkeologi Onrust,1776
2019,01,Pelabuhan Sunda Kelapa,3612
2019,01,Kepulauan Seribu,16735
2019,01,PBB Setu babakan,32448
2019,01,Museum Prasasti,779
2019,01,Planetarium,11206
2019,01,Rumah si Pitung,1895
